login,time,total_pnl,by_symbol,num_positions
183459647,2025-07-25T00:36:49.365498,-0.64,"{'GBPCADc': 9.5, 'EURUSDc': -0.34, 'AUDJPYc': -0.16, 'EURNZDc': 0.06, 'USDCHFc': -7.97}",5
263006287,2025-07-25T00:36:49.365498,11.38,"{'NZDUSDc': -2.28, 'GBPJPYc': 7.6, 'EURCADc': -1.07, 'AUDCHFc': 7.38, 'EURUSDc': -0.23}",5
183459647,2025-07-25T00:36:59.381512,-0.7,"{'GBPCADc': 9.48, 'EURUSDc': -0.38, 'AUDJPYc': -0.15, 'EURNZDc': 0.07, 'USDCHFc': -7.99}",5
263006287,2025-07-25T00:36:59.395919,11.34,"{'NZDUSDc': -2.29, 'GBPJPYc': 7.6, 'EURCADc': -1.09, 'AUDCHFc': 7.41, 'EURUSDc': -0.27}",5
183459647,2025-07-25T00:37:09.403388,-0.76,"{'GBPCADc': 9.44, 'EURUSDc': -0.38, 'AUDJPYc': -0.16, 'EURNZDc': 0.06, 'USDCHFc': -7.99}",5
263006287,2025-07-25T00:37:09.403388,11.34,"{'NZDUSDc': -2.29, 'GBPJPYc': 7.64, 'EURCADc': -1.11, 'AUDCHFc': 7.39, 'EURUSDc': -0.27}",5
183459647,2025-07-25T00:37:19.418197,-0.95,"{'GBPCADc': 9.46, 'EURUSDc': -0.45, 'AUDJPYc': -0.16, 'EURNZDc': 0.03, 'USDCHFc': -8.1}",5
263006287,2025-07-25T00:37:19.433146,11.11,"{'NZDUSDc': -2.32, 'GBPJPYc': 7.57, 'EURCADc': -1.14, 'AUDCHFc': 7.36, 'EURUSDc': -0.34}",5
183459647,2025-07-25T00:37:29.432358,-0.8,"{'GBPCADc': 9.46, 'EURUSDc': -0.39, 'AUDJPYc': -0.18, 'EURNZDc': 0.08, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:37:29.447976,11.28,"{'NZDUSDc': -2.3, 'GBPJPYc': 7.58, 'EURCADc': -1.08, 'AUDCHFc': 7.38, 'EURUSDc': -0.28}",5
183459647,2025-07-25T00:37:39.447195,-0.68,"{'GBPCADc': 9.5, 'EURUSDc': -0.37, 'AUDJPYc': -0.17, 'EURNZDc': 0.1, 'USDCHFc': -8.01}",5
263006287,2025-07-25T00:37:39.461875,11.28,"{'NZDUSDc': -2.31, 'GBPJPYc': 7.56, 'EURCADc': -1.07, 'AUDCHFc': 7.38, 'EURUSDc': -0.26}",5
183459647,2025-07-25T00:37:49.466886,-0.73,"{'GBPCADc': 9.5, 'EURUSDc': -0.39, 'AUDJPYc': -0.17, 'EURNZDc': 0.08, 'USDCHFc': -8.02}",5
263006287,2025-07-25T00:37:49.482367,11.24,"{'NZDUSDc': -2.31, 'GBPJPYc': 7.56, 'EURCADc': -1.09, 'AUDCHFc': 7.38, 'EURUSDc': -0.28}",5
183459647,2025-07-25T00:37:59.488381,-0.76,"{'GBPCADc': 9.52, 'EURUSDc': -0.42, 'AUDJPYc': -0.17, 'EURNZDc': 0.05, 'USDCHFc': -8.01}",5
